,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
1820,Nexprt,2020.0,Delhi,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Titan Capital,"$2,000,000",Pre-Seed,2021,1,1,Consumer Services,Dollars,2000000.0
1821,Wysa,2015.0,Bangalore,Wysa is an AI conversational agent that has been shown to help improve mental health,"Kae Capital, Pi Ventures",Undisclosed,Series C,2021,2,2,Technology,Not Specified,28488165.70327553
1822,Ankur capital,2011.0,Mumbai,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,Not Specified,"$40,000,000",Series E,2021,2,1,FinTech,Dollars,40000000.0
1823,Indifi,2015.0,Gurugram,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Elevar Equity, Accel India","$5,000,000",Series E,2021,2,3,FinTech,Dollars,5000000.0
1824,Firmway,2016.0,Mumbai,Firmway is a platform that digitizes balance confirmation and reconciliation process.,Not Specified,Undisclosed,Series C,2021,2,2,FinTech,Not Specified,28488165.70327553
1825,Say Cheese,2020.0,Mumbai,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",Not Specified,"$1,000,000",Seed,2021,2,1,Technology,Dollars,1000000.0
1826,Indic Inspirations,2019.0,Pune,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Marquee investors,"$300,000",Series D,2021,1,1,Other,Dollars,300000.0
1827,Bimaplan,2020.0,Mumbai,Affordable insurance for the next billion Indians,"Titan Capital, Y Combinator","$500,000",Seed,2021,2,1,FinTech,Dollars,500000.0
1828,YAP,2014.0,Chennai,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Jitendra Gupta, Better Capital","$10,000,000",Series B,2021,2,2,FinTech,Dollars,10000000.0
1829,Leap Finance,2019.0,Bangalore,Leap Finance is a fintech startup for Indian students pursuing international higher education,Jungle Ventures,"$17,000,000",Series B,2021,1,1,FinTech,Dollars,17000000.0
1830,BlackSoil NBFC,2010.0,Mumbai,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,Not Specified,"$3,000,000",Venture - Series Unknown,2021,2,1,FinTech,Dollars,3000000.0
1831,OYO,2012.0,Gurugram,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,"$200,000,000",Series A,2021,1,1,Hospitality,Dollars,200000000.0
1832,Max Healthcare,2000.0,Delhi,Max Healthcare is one of the leading chain of hospitals in India.,"Radiant Life Care Private Ltd, Life Healthcare","$140,000,000",Pre-Seed,2021,2,1,Automotive,Dollars,140000000.0
1833,4baseCare,2018.0,Bangalore,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Mount Judi Ventures, growX Ventures, Season Two Ventures","$2,000,000",Series D,2021,3,2,Healthcare,Dollars,2000000.0
1834,Ezstays,2019.0,Delhi,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.",Richard Rekhy,"$400,000",Seed,2021,1,3,Education,Dollars,400000.0
1835,Stylework,2017.0,Gurugram,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Inflection Point Ventures,"$500,000",Seed,2021,1,1,Other,Dollars,500000.0
1836,Kinara Capital,2011.0,Bangalore,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,"GAWA Capital, Gaja Capital","$6,000,000",Series A,2021,2,1,FinTech,Dollars,6000000.0
1837,Riskcovry,2018.0,Bangalore,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Better Capital, Bharat Inclusion Seed Fund","$5,000,000",Series A,2021,2,4,Technology,Dollars,5000000.0
1838,NODWIN,2012.0,Gurugram,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,Krafton,"$20,000,000",Series C,2021,1,1,Gaming,Dollars,20000000.0
1839,Quizizz,2015.0,Bangalore,Quizizz is a Education based startup,"Eight Roads Ventures India, Nexus Venture Partners","$12,500,000",Series A,2021,2,2,Education,Dollars,12500000.0
1840,Ecom Express,2012.0,Delhi,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"CDC Group, Partners Group","$20,000,000",Angel,2021,2,4,E-Commerce,Dollars,20000000.0
1841,Turtlemint,2015.0,Mumbai,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,Jungle Ventures,"$45,000,000",Series D,2021,1,3,Technology,Dollars,45000000.0
1842,Captain Fresh,2019.0,Bangalore,Captain Fresh is a freshwater fish and seafood supply chain platform.,"Matrix Partners India, Ankur Capital","$3,000,000",Seed,2021,2,1,Other,Dollars,3000000.0
1843,Northern Arc,2008.0,Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"U.S. International Development Finance Corp, Asian Development Bank","$10,000,000",Angel,2021,2,1,FinTech,Dollars,10000000.0
1844,Qoohoo,2020.0,Bangalore,A platform for creators to build immersive connections with their fans and followers and monetize them.,Angel investors,"$800,000",Seed,2021,1,2,Other,Dollars,800000.0
1845,IGL,2016.0,Mumbai,Indian Gaming League is the premier eSports platform in India.,"Hungama, Hindustan Talkies","$500,000",Series D,2021,2,1,Gaming,Dollars,500000.0
1846,AMPM,2018.0,Gurugram,24*7 convenience store,Agility Venture Partners,"$200,000",Angel,2021,1,1,E-Commerce,Dollars,200000.0
